epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.09793,1.26572,3.78393,1.04734,0.00362,0.16667,0.15803,0.13537,0.98132,3.94111,0.80364,0.00018,0.00018,0.00018
2,3.62271,1.13719,3.0147,0.93368,0.00399,0.16667,0.16583,0.14142,1.07921,3.81115,0.80738,0.000366337,0.000366337,0.000366337
3,5.1236,1.13131,2.02413,0.93393,0.99919,0.16667,0.18579,0.15159,1.04391,3.436,0.81035,0.000548912,0.000548912,0.000548912
4,6.63924,1.07874,1.25634,0.93828,0.99827,0.17822,0.53122,0.4065,1.07164,2.7021,0.82639,0.000727725,0.000727725,0.000727725
5,8.17891,1.03967,0.98286,0.93254,0.94831,0.3688,0.82692,0.57603,1.00959,1.73189,0.82128,0.000902776,0.000902776,0.000902776
6,9.6656,0.98751,0.85516,0.9149,0.87114,0.6602,0.89381,0.61718,0.93315,1.22032,0.84764,0.0009505,0.0009505,0.0009505
7,11.1446,0.93427,0.77002,0.89739,0.92948,0.88305,0.97332,0.66463,0.93225,0.81135,0.83518,0.0009406,0.0009406,0.0009406
8,12.6075,0.92727,0.7499,0.91184,0.93243,0.88804,0.9814,0.69472,0.85272,0.7813,0.81255,0.0009307,0.0009307,0.0009307
9,14.0436,0.89879,0.70892,0.89767,0.94258,0.91608,0.98393,0.69673,0.87341,0.64365,0.79746,0.0009208,0.0009208,0.0009208
10,15.4938,0.90551,0.66857,0.89935,0.96856,0.9742,0.98749,0.70838,0.83479,0.55583,0.80623,0.0009109,0.0009109,0.0009109
11,16.9547,0.88242,0.65051,0.88908,0.97015,0.97402,0.9848,0.70255,0.85028,0.56248,0.79453,0.000901,0.000901,0.000901
12,18.4277,0.88249,0.6281,0.88585,0.97451,0.97135,0.98745,0.70653,0.83231,0.5304,0.7984,0.0008911,0.0008911,0.0008911
13,19.8845,0.84862,0.61548,0.89678,0.97659,0.97359,0.98522,0.72125,0.79603,0.519,0.79603,0.0008812,0.0008812,0.0008812
14,21.3609,0.85408,0.60523,0.89164,0.97535,0.98027,0.98839,0.73011,0.76277,0.48505,0.78942,0.0008713,0.0008713,0.0008713
15,22.8384,0.83196,0.58084,0.8915,0.98223,0.98151,0.99016,0.73056,0.76747,0.49419,0.78938,0.0008614,0.0008614,0.0008614
16,24.2822,0.83113,0.57672,0.88498,0.97999,0.98642,0.99069,0.73593,0.76186,0.47052,0.78544,0.0008515,0.0008515,0.0008515
17,25.7071,0.78268,0.55106,0.86829,0.98125,0.9822,0.98606,0.71303,0.7981,0.47682,0.79517,0.0008416,0.0008416,0.0008416
18,27.1451,0.79548,0.55829,0.878,0.98544,0.98573,0.98916,0.73514,0.7551,0.46369,0.78985,0.0008317,0.0008317,0.0008317
19,28.5915,0.78013,0.54841,0.86729,0.9742,0.98214,0.99028,0.72386,0.78062,0.45343,0.78463,0.0008218,0.0008218,0.0008218
20,30.0481,0.79108,0.54414,0.88177,0.9872,0.9884,0.99072,0.73121,0.75986,0.45427,0.78809,0.0008119,0.0008119,0.0008119
21,31.4836,0.76615,0.5359,0.87616,0.98223,0.98676,0.99039,0.74369,0.72602,0.44485,0.78404,0.000802,0.000802,0.000802
22,32.9666,0.76952,0.52698,0.86492,0.9847,0.98549,0.99374,0.7351,0.74954,0.449,0.78545,0.0007921,0.0007921,0.0007921
23,34.3986,0.76229,0.52063,0.8759,0.98547,0.98876,0.99219,0.74566,0.71375,0.42474,0.78642,0.0007822,0.0007822,0.0007822
24,35.8413,0.77238,0.52199,0.8728,0.9854,0.99157,0.99402,0.7486,0.72583,0.4498,0.78634,0.0007723,0.0007723,0.0007723
25,37.2516,0.76258,0.51273,0.882,0.98531,0.98943,0.99134,0.73435,0.74134,0.43304,0.78947,0.0007624,0.0007624,0.0007624
26,38.7037,0.7739,0.51825,0.87329,0.9826,0.98752,0.99127,0.74306,0.7393,0.4413,0.78939,0.0007525,0.0007525,0.0007525
27,40.1482,0.78431,0.51182,0.87768,0.98247,0.99099,0.99206,0.74338,0.73389,0.43696,0.78733,0.0007426,0.0007426,0.0007426
28,41.6369,0.74873,0.49091,0.86613,0.98218,0.99157,0.99198,0.74982,0.70603,0.41914,0.78246,0.0007327,0.0007327,0.0007327
29,43.0896,0.74527,0.49987,0.87583,0.98514,0.99157,0.9916,0.7542,0.71209,0.42241,0.7787,0.0007228,0.0007228,0.0007228
30,44.5273,0.73943,0.4964,0.87336,0.98584,0.99074,0.99265,0.75028,0.7218,0.42048,0.78544,0.0007129,0.0007129,0.0007129
31,46.0089,0.77173,0.50595,0.87565,0.98658,0.99017,0.99208,0.73815,0.77274,0.43022,0.78481,0.000703,0.000703,0.000703
32,47.4609,0.75313,0.49957,0.87027,0.98427,0.98924,0.99213,0.74586,0.71636,0.42586,0.78222,0.0006931,0.0006931,0.0006931
33,48.91,0.72972,0.48169,0.87052,0.98636,0.99037,0.99336,0.74344,0.72318,0.42005,0.78942,0.0006832,0.0006832,0.0006832
34,50.3843,0.74442,0.47188,0.86293,0.98421,0.99238,0.99044,0.75677,0.71172,0.40769,0.78102,0.0006733,0.0006733,0.0006733
35,51.8606,0.73108,0.4773,0.86732,0.98586,0.99289,0.9913,0.75396,0.70128,0.40817,0.78157,0.0006634,0.0006634,0.0006634
36,53.3362,0.72349,0.45981,0.86886,0.98684,0.99323,0.99297,0.75106,0.72785,0.40539,0.78408,0.0006535,0.0006535,0.0006535
37,54.799,0.70914,0.45347,0.86201,0.98643,0.99345,0.99154,0.74549,0.74717,0.41611,0.78513,0.0006436,0.0006436,0.0006436
38,56.2608,0.72428,0.46337,0.86855,0.98776,0.98689,0.99311,0.74296,0.70487,0.39973,0.78575,0.0006337,0.0006337,0.0006337
39,57.7434,0.69301,0.4482,0.86162,0.9869,0.99154,0.99289,0.76398,0.68726,0.39857,0.78305,0.0006238,0.0006238,0.0006238
40,59.2162,0.68613,0.44163,0.85941,0.98735,0.99354,0.99262,0.76804,0.68284,0.38948,0.78422,0.0006139,0.0006139,0.0006139
41,60.682,0.69934,0.44582,0.8714,0.98651,0.99438,0.99311,0.76872,0.69431,0.39465,0.78378,0.000604,0.000604,0.000604
42,62.1564,0.69455,0.44801,0.8728,0.98351,0.99063,0.99094,0.76087,0.68607,0.39118,0.78545,0.0005941,0.0005941,0.0005941
43,63.6261,0.71779,0.44454,0.87133,0.98828,0.99222,0.99277,0.76454,0.69886,0.39157,0.78511,0.0005842,0.0005842,0.0005842
44,65.1015,0.69772,0.44277,0.86371,0.98888,0.99438,0.99432,0.75748,0.69142,0.38706,0.78367,0.0005743,0.0005743,0.0005743
45,66.5928,0.69539,0.44318,0.85925,0.98816,0.99345,0.99223,0.76391,0.67839,0.37927,0.78207,0.0005644,0.0005644,0.0005644
46,68.0783,0.6865,0.43606,0.86229,0.98996,0.99369,0.9944,0.76475,0.70083,0.3924,0.79166,0.0005545,0.0005545,0.0005545
47,69.5094,0.68883,0.4314,0.85949,0.98726,0.99298,0.99417,0.76362,0.69666,0.39219,0.78514,0.0005446,0.0005446,0.0005446
48,70.9664,0.68669,0.42647,0.86347,0.98834,0.99232,0.99164,0.76389,0.67798,0.38017,0.78125,0.0005347,0.0005347,0.0005347
49,72.3772,0.70551,0.44747,0.86414,0.98838,0.99345,0.99271,0.76801,0.67891,0.38229,0.78433,0.0005248,0.0005248,0.0005248
50,73.8114,0.68084,0.42945,0.86001,0.98816,0.9925,0.99375,0.76796,0.67621,0.37902,0.78515,0.0005149,0.0005149,0.0005149
51,75.2499,0.69132,0.42998,0.85559,0.98815,0.99204,0.99342,0.75859,0.70072,0.39092,0.78432,0.000505,0.000505,0.000505
52,76.7158,0.69361,0.44023,0.86417,0.98894,0.99334,0.99399,0.77323,0.67498,0.37731,0.7845,0.0004951,0.0004951,0.0004951
53,78.1597,0.68217,0.42659,0.86307,0.98806,0.99262,0.99464,0.75541,0.68299,0.38505,0.78544,0.0004852,0.0004852,0.0004852
54,79.5977,0.68215,0.42671,0.86177,0.98921,0.99391,0.99353,0.77192,0.67114,0.37579,0.78283,0.0004753,0.0004753,0.0004753
55,81.0392,0.66966,0.41747,0.85675,0.99024,0.99391,0.99457,0.76915,0.67772,0.37873,0.78481,0.0004654,0.0004654,0.0004654
56,82.4652,0.67718,0.4215,0.85775,0.98901,0.99243,0.9931,0.76788,0.69888,0.38319,0.78049,0.0004555,0.0004555,0.0004555
57,83.8937,0.67626,0.42009,0.85942,0.98998,0.99485,0.9946,0.77267,0.67932,0.37838,0.77858,0.0004456,0.0004456,0.0004456
58,85.3199,0.67416,0.42119,0.85833,0.98895,0.99334,0.99435,0.77589,0.66079,0.37263,0.78013,0.0004357,0.0004357,0.0004357
59,86.773,0.65395,0.41511,0.85421,0.98856,0.99158,0.99294,0.78036,0.65085,0.37219,0.7775,0.0004258,0.0004258,0.0004258
60,88.225,0.65246,0.41198,0.85616,0.98873,0.99376,0.9941,0.7786,0.66974,0.36367,0.78601,0.0004159,0.0004159,0.0004159
61,89.646,0.64791,0.39694,0.84654,0.98995,0.99486,0.99407,0.78253,0.65009,0.35895,0.77624,0.000406,0.000406,0.000406
62,91.1266,0.65046,0.40028,0.85021,0.98969,0.99471,0.99413,0.78514,0.63878,0.35977,0.77556,0.0003961,0.0003961,0.0003961
63,92.5964,0.6437,0.39736,0.85457,0.9889,0.99248,0.99437,0.78307,0.64761,0.35908,0.77938,0.0003862,0.0003862,0.0003862
64,94.0725,0.64103,0.39603,0.85296,0.98952,0.99582,0.99457,0.77723,0.65275,0.35541,0.77835,0.0003763,0.0003763,0.0003763
65,95.5317,0.62958,0.39467,0.8542,0.9908,0.99489,0.99492,0.78565,0.64376,0.35408,0.77959,0.0003664,0.0003664,0.0003664
66,97.0163,0.62938,0.38737,0.845,0.98885,0.99532,0.99449,0.78048,0.64757,0.35514,0.7802,0.0003565,0.0003565,0.0003565
67,98.4846,0.65105,0.40042,0.85932,0.99023,0.99566,0.99447,0.78231,0.64719,0.3556,0.77972,0.0003466,0.0003466,0.0003466
68,99.9938,0.65083,0.39475,0.85784,0.9899,0.9946,0.99459,0.77705,0.64908,0.35414,0.78127,0.0003367,0.0003367,0.0003367
69,101.459,0.62647,0.38945,0.84828,0.98789,0.99238,0.99288,0.77735,0.64445,0.35532,0.7794,0.0003268,0.0003268,0.0003268
70,102.946,0.63735,0.3842,0.85228,0.98915,0.99444,0.99462,0.78179,0.6472,0.35213,0.78093,0.0003169,0.0003169,0.0003169
71,104.412,0.65159,0.38733,0.8633,0.98896,0.99478,0.99444,0.7794,0.65563,0.35626,0.78166,0.000307,0.000307,0.000307
72,105.884,0.63538,0.38109,0.856,0.98964,0.99247,0.99443,0.78565,0.63608,0.35216,0.77797,0.0002971,0.0002971,0.0002971
73,107.347,0.62741,0.3889,0.85079,0.98942,0.99555,0.99437,0.78196,0.64195,0.35002,0.77667,0.0002872,0.0002872,0.0002872
74,108.811,0.62096,0.3804,0.8489,0.99092,0.99546,0.99474,0.7802,0.63826,0.34934,0.77884,0.0002773,0.0002773,0.0002773
75,110.262,0.62128,0.37606,0.84564,0.98861,0.99532,0.99425,0.7821,0.64363,0.35022,0.77809,0.0002674,0.0002674,0.0002674
76,111.726,0.61484,0.37987,0.84859,0.98988,0.99559,0.99486,0.77679,0.64919,0.34718,0.7816,0.0002575,0.0002575,0.0002575
77,113.176,0.61915,0.37245,0.84857,0.98884,0.99418,0.99412,0.78737,0.62683,0.34078,0.77586,0.0002476,0.0002476,0.0002476
78,114.619,0.61196,0.37215,0.85259,0.99066,0.99485,0.99459,0.78296,0.6306,0.34322,0.77621,0.0002377,0.0002377,0.0002377
79,116.084,0.60751,0.36395,0.843,0.98952,0.99452,0.99444,0.78875,0.62691,0.33785,0.77613,0.0002278,0.0002278,0.0002278
80,117.51,0.596,0.36579,0.84973,0.98993,0.99512,0.99489,0.78588,0.62556,0.33461,0.77634,0.0002179,0.0002179,0.0002179
81,118.929,0.60133,0.36954,0.84396,0.99008,0.99451,0.99486,0.78295,0.63248,0.34048,0.777,0.000208,0.000208,0.000208
82,120.351,0.58834,0.35918,0.83863,0.99006,0.99454,0.99488,0.78717,0.62466,0.33253,0.77823,0.0001981,0.0001981,0.0001981
83,121.811,0.6002,0.36281,0.84639,0.99006,0.99437,0.99467,0.7888,0.62907,0.33144,0.77576,0.0001882,0.0001882,0.0001882
84,123.274,0.59652,0.36095,0.84597,0.9884,0.99497,0.99445,0.79138,0.62132,0.33153,0.77817,0.0001783,0.0001783,0.0001783
85,124.714,0.57383,0.35763,0.83816,0.98925,0.99391,0.9945,0.79189,0.62073,0.33686,0.77481,0.0001684,0.0001684,0.0001684
86,126.171,0.5992,0.36146,0.8455,0.98954,0.99438,0.99451,0.78917,0.62334,0.33668,0.77538,0.0001585,0.0001585,0.0001585
87,127.659,0.59539,0.35814,0.84754,0.9889,0.99541,0.99398,0.7937,0.61732,0.33234,0.77493,0.0001486,0.0001486,0.0001486
