epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.05232,1.27346,3.80152,1.04843,0.00305,0.16667,0.1658,0.14155,1.04783,3.94544,0.80921,0.00018,0.00018,0.00018
2,3.60297,1.10996,3.15807,0.93321,0.00365,0.16667,0.16583,0.13822,1.01496,3.83184,0.80259,0.0002479,0.0002479,0.0002479
3,5.12867,1.06858,2.57694,0.91715,0.0092,0.35581,0.17144,0.15441,0.98533,3.63053,0.79516,0.0001904,0.0001904,0.0001904
