epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,280.042,0.75692,0.39505,0.90445,0.98209,0.97534,0.99444,0.76073,0.69474,0.33979,0.80478,0.0008647,0.0008647,0.0008647
43,286.625,0.74477,0.38526,0.9021,0.97994,0.98595,0.99413,0.75768,0.72719,0.33955,0.80204,0.0008614,0.0008614,0.0008614
44,293.117,0.73659,0.38249,0.89973,0.97176,0.98969,0.99448,0.77209,0.69886,0.353,0.8139,0.0008581,0.0008581,0.0008581
45,299.636,0.74835,0.38252,0.89891,0.98123,0.99351,0.99417,0.78513,0.66531,0.33202,0.80942,0.0008548,0.0008548,0.0008548
46,306.227,0.73069,0.37867,0.89406,0.9884,0.98955,0.99396,0.78856,0.64243,0.32028,0.79532,0.0008515,0.0008515,0.0008515
47,312.833,0.73207,0.37938,0.89738,0.97704,0.99161,0.99359,0.77939,0.65232,0.32712,0.80519,0.0008482,0.0008482,0.0008482
48,319.342,0.73156,0.37616,0.89693,0.97997,0.9893,0.99375,0.7788,0.68032,0.32256,0.80481,0.0008449,0.0008449,0.0008449
49,325.903,0.73818,0.38187,0.8991,0.98225,0.99319,0.99354,0.793,0.6373,0.31396,0.79854,0.0008416,0.0008416,0.0008416
50,332.431,0.73008,0.37482,0.89556,0.96887,0.97014,0.99372,0.78014,0.66001,0.32641,0.81265,0.0008383,0.0008383,0.0008383
51,339.043,0.72682,0.37331,0.89642,0.98436,0.9873,0.9939,0.78103,0.66566,0.32427,0.79834,0.000835,0.000835,0.000835
52,345.578,0.73854,0.38055,0.90015,0.98179,0.98655,0.99401,0.75091,0.77537,0.35693,0.82605,0.0008317,0.0008317,0.0008317
53,352.259,0.72296,0.37226,0.89138,0.98716,0.99604,0.99388,0.799,0.6123,0.30245,0.79003,0.0008284,0.0008284,0.0008284
54,358.958,0.73317,0.37505,0.89998,0.98612,0.99307,0.99386,0.80556,0.5978,0.30691,0.80213,0.0008251,0.0008251,0.0008251
55,365.65,0.72727,0.37418,0.89408,0.98986,0.99522,0.99412,0.79147,0.63965,0.31303,0.79792,0.0008218,0.0008218,0.0008218
56,372.338,0.71728,0.36611,0.89038,0.97656,0.97958,0.99406,0.74137,0.75965,0.34505,0.82518,0.0008185,0.0008185,0.0008185
57,379.067,0.70819,0.36678,0.89089,0.9869,0.99329,0.99381,0.77966,0.67117,0.31565,0.80502,0.0008152,0.0008152,0.0008152
58,385.727,0.71523,0.36902,0.89013,0.98703,0.98434,0.99408,0.79425,0.63565,0.30126,0.80302,0.0008119,0.0008119,0.0008119
59,392.228,0.7216,0.36956,0.89188,0.98152,0.99205,0.99425,0.77852,0.68946,0.32407,0.80749,0.0008086,0.0008086,0.0008086
60,398.722,0.72965,0.36939,0.89251,0.98214,0.97716,0.99421,0.77987,0.66274,0.31373,0.79961,0.0008053,0.0008053,0.0008053
61,405.266,0.72033,0.3676,0.89179,0.98351,0.98502,0.9943,0.76991,0.70471,0.32665,0.81736,0.000802,0.000802,0.000802
62,411.81,0.71404,0.3652,0.89189,0.9801,0.98919,0.99405,0.78837,0.64138,0.3156,0.79763,0.0007987,0.0007987,0.0007987
63,418.381,0.71037,0.36355,0.89102,0.98868,0.99325,0.99435,0.79327,0.64205,0.30654,0.79952,0.0007954,0.0007954,0.0007954
64,424.95,0.70805,0.36639,0.89156,0.98577,0.99062,0.99421,0.78886,0.66991,0.31374,0.80995,0.0007921,0.0007921,0.0007921
65,431.47,0.69713,0.35799,0.88852,0.98605,0.99466,0.9943,0.79193,0.64216,0.30921,0.80745,0.0007888,0.0007888,0.0007888
66,438.018,0.6975,0.35994,0.88909,0.98666,0.98917,0.99432,0.7958,0.62677,0.29993,0.80434,0.0007855,0.0007855,0.0007855
67,444.542,0.7094,0.36258,0.89001,0.98552,0.98177,0.99426,0.79767,0.6301,0.31211,0.804,0.0007822,0.0007822,0.0007822
68,451.233,0.70473,0.36066,0.88942,0.98612,0.99542,0.99461,0.80046,0.62218,0.29651,0.80481,0.0007789,0.0007789,0.0007789
69,457.808,0.69124,0.3549,0.88619,0.98295,0.9826,0.99386,0.79764,0.62502,0.30041,0.80021,0.0007756,0.0007756,0.0007756
70,464.359,0.70527,0.36272,0.88742,0.98759,0.9925,0.99419,0.81347,0.58906,0.29401,0.79704,0.0007723,0.0007723,0.0007723
71,471,0.69912,0.35756,0.88532,0.98501,0.99029,0.99405,0.79847,0.63181,0.30207,0.79558,0.000769,0.000769,0.000769
72,477.512,0.68796,0.3547,0.88404,0.98449,0.99298,0.99424,0.79341,0.64241,0.30146,0.79262,0.0007657,0.0007657,0.0007657
73,484.171,0.68949,0.35348,0.88727,0.98754,0.99417,0.99473,0.78676,0.65064,0.30252,0.80299,0.0007624,0.0007624,0.0007624
74,490.676,0.69388,0.35385,0.88572,0.98735,0.99348,0.99469,0.79364,0.6428,0.30046,0.80666,0.0007591,0.0007591,0.0007591
75,497.229,0.69693,0.35824,0.88942,0.98458,0.99647,0.99486,0.81466,0.59097,0.28121,0.80535,0.0007558,0.0007558,0.0007558
76,503.783,0.6918,0.35399,0.88717,0.98286,0.9905,0.9933,0.78099,0.65339,0.30868,0.81082,0.0007525,0.0007525,0.0007525
77,510.246,0.69752,0.35265,0.88805,0.98366,0.99455,0.99369,0.79946,0.63064,0.29834,0.79081,0.0007492,0.0007492,0.0007492
78,516.715,0.69786,0.35494,0.88509,0.98346,0.99007,0.99367,0.78284,0.65709,0.30486,0.79172,0.0007459,0.0007459,0.0007459
79,523.189,0.69475,0.35365,0.88742,0.98104,0.98384,0.99402,0.79948,0.61915,0.29593,0.80916,0.0007426,0.0007426,0.0007426
80,529.659,0.67867,0.34604,0.88584,0.98566,0.99144,0.99425,0.80088,0.6339,0.29797,0.79854,0.0007393,0.0007393,0.0007393
81,536.178,0.69427,0.35358,0.88348,0.98714,0.99426,0.99439,0.78798,0.67417,0.30592,0.80447,0.000736,0.000736,0.000736
82,542.799,0.67309,0.34516,0.88355,0.98167,0.99042,0.9934,0.78451,0.66314,0.3035,0.8168,0.0007327,0.0007327,0.0007327
83,549.512,0.67827,0.34609,0.88551,0.98746,0.98826,0.99419,0.78249,0.68423,0.31467,0.81499,0.0007294,0.0007294,0.0007294
84,556.302,0.67196,0.34482,0.8813,0.98599,0.99115,0.99461,0.79393,0.62873,0.29013,0.80198,0.0007261,0.0007261,0.0007261
85,563.02,0.6803,0.34637,0.88217,0.98858,0.99366,0.99435,0.79777,0.63337,0.29823,0.80608,0.0007228,0.0007228,0.0007228
86,569.789,0.67479,0.34311,0.88417,0.98342,0.99608,0.9948,0.79924,0.61373,0.28348,0.79426,0.0007195,0.0007195,0.0007195
87,576.515,0.69271,0.351,0.88491,0.98432,0.99373,0.99406,0.79644,0.64859,0.29502,0.80071,0.0007162,0.0007162,0.0007162
88,583.22,0.66626,0.34092,0.88013,0.98304,0.99417,0.99456,0.78859,0.67487,0.29951,0.81426,0.0007129,0.0007129,0.0007129
89,589.803,0.67649,0.34143,0.8826,0.98599,0.99206,0.99401,0.8091,0.59788,0.28738,0.79728,0.0007096,0.0007096,0.0007096
90,596.324,0.67348,0.34232,0.87934,0.98192,0.98913,0.9941,0.80553,0.61291,0.29097,0.79254,0.0007063,0.0007063,0.0007063
91,602.883,0.66714,0.34085,0.87699,0.98693,0.98933,0.9941,0.79847,0.62841,0.29508,0.80671,0.000703,0.000703,0.000703
92,609.423,0.66693,0.33907,0.879,0.98217,0.99282,0.99402,0.79105,0.63044,0.2914,0.79598,0.0006997,0.0006997,0.0006997
93,615.906,0.67016,0.34188,0.87972,0.98682,0.99386,0.99381,0.80545,0.60901,0.28732,0.80374,0.0006964,0.0006964,0.0006964
94,622.421,0.67653,0.3456,0.88597,0.98813,0.98991,0.99446,0.81082,0.5826,0.28374,0.78407,0.0006931,0.0006931,0.0006931
95,629.101,0.67446,0.34268,0.88279,0.98848,0.99333,0.99482,0.78667,0.65478,0.29457,0.80804,0.0006898,0.0006898,0.0006898
96,635.736,0.66275,0.3349,0.87561,0.98965,0.9947,0.99492,0.80683,0.61406,0.2848,0.80209,0.0006865,0.0006865,0.0006865
97,642.415,0.66152,0.33631,0.87882,0.9913,0.99792,0.99463,0.81442,0.60573,0.27908,0.80269,0.0006832,0.0006832,0.0006832
98,649.119,0.6472,0.33321,0.87525,0.98763,0.99448,0.99439,0.8077,0.60413,0.28465,0.78312,0.0006799,0.0006799,0.0006799
