epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,75.6369,0.65964,0.41139,0.86374,0.98665,0.98387,0.99367,0.78267,0.66672,0.38041,0.80972,0.0008647,0.0008647,0.0008647
43,77.4269,0.68113,0.42226,0.85585,0.99121,0.99193,0.99414,0.77446,0.68627,0.37541,0.80139,0.0008614,0.0008614,0.0008614
44,79.231,0.68301,0.41544,0.86022,0.9897,0.99048,0.99352,0.77741,0.68061,0.36828,0.79429,0.0008581,0.0008581,0.0008581
45,81.0565,0.65116,0.40026,0.85579,0.98821,0.99048,0.99447,0.78166,0.64549,0.3612,0.7984,0.0008548,0.0008548,0.0008548
46,82.8514,0.65693,0.39823,0.85643,0.98899,0.99042,0.99419,0.78993,0.64296,0.36398,0.80124,0.0008515,0.0008515,0.0008515
47,84.6487,0.64914,0.4036,0.85637,0.98681,0.9936,0.99391,0.78923,0.62979,0.36092,0.80145,0.0008482,0.0008482,0.0008482
48,86.4399,0.65256,0.39701,0.85684,0.9881,0.99167,0.99369,0.77351,0.67016,0.3669,0.80959,0.0008449,0.0008449,0.0008449
49,88.234,0.65456,0.39868,0.86239,0.98906,0.98933,0.99397,0.78856,0.64402,0.36813,0.79747,0.0008416,0.0008416,0.0008416
50,90.0797,0.67573,0.40382,0.86376,0.98839,0.99197,0.99395,0.79029,0.63491,0.36334,0.79725,0.0008383,0.0008383,0.0008383
51,91.8412,0.66419,0.40175,0.86103,0.98838,0.99225,0.99395,0.78276,0.6619,0.35671,0.80366,0.000835,0.000835,0.000835
52,93.5798,0.6595,0.39077,0.86035,0.99004,0.99376,0.9941,0.79391,0.61998,0.34684,0.80108,0.0008317,0.0008317,0.0008317
53,95.3246,0.62837,0.37773,0.85486,0.99053,0.99542,0.99413,0.78751,0.62905,0.34392,0.80777,0.0008284,0.0008284,0.0008284
54,97.0473,0.64818,0.39243,0.86063,0.98959,0.99378,0.9936,0.78434,0.63933,0.35534,0.8071,0.0008251,0.0008251,0.0008251
55,98.802,0.67021,0.39903,0.86609,0.98774,0.9957,0.99387,0.79083,0.63022,0.35305,0.7991,0.0008218,0.0008218,0.0008218
56,100.573,0.63016,0.3846,0.84944,0.98933,0.99306,0.99426,0.79806,0.61087,0.34156,0.79561,0.0008185,0.0008185,0.0008185
57,102.329,0.64308,0.39071,0.85479,0.98815,0.99626,0.99473,0.79599,0.62227,0.3454,0.79469,0.0008152,0.0008152,0.0008152
58,104.13,0.64731,0.38333,0.85992,0.98836,0.99373,0.9946,0.78471,0.63723,0.35147,0.80152,0.0008119,0.0008119,0.0008119
59,105.874,0.63725,0.38067,0.85479,0.98537,0.99458,0.99393,0.78195,0.64786,0.35021,0.80236,0.0008086,0.0008086,0.0008086
60,107.778,0.62625,0.37719,0.85837,0.99009,0.99411,0.99426,0.7939,0.61921,0.34465,0.79784,0.0008053,0.0008053,0.0008053
61,109.648,0.6352,0.37245,0.85153,0.99045,0.99439,0.99472,0.79566,0.63251,0.35792,0.79502,0.000802,0.000802,0.000802
62,111.596,0.63261,0.37347,0.85348,0.98891,0.99458,0.99464,0.79522,0.62146,0.34868,0.79608,0.0007987,0.0007987,0.0007987
63,113.547,0.62622,0.37204,0.85333,0.9897,0.99516,0.9942,0.79424,0.62313,0.34913,0.79785,0.0007954,0.0007954,0.0007954
64,115.649,0.65727,0.37706,0.85749,0.98727,0.99379,0.99406,0.79154,0.63225,0.3359,0.80558,0.0007921,0.0007921,0.0007921
65,117.62,0.6256,0.37151,0.84755,0.98893,0.99275,0.99381,0.79535,0.63021,0.33631,0.81024,0.0007888,0.0007888,0.0007888
66,119.582,0.62345,0.36941,0.85503,0.98754,0.98927,0.99332,0.79161,0.61099,0.33383,0.8084,0.0007855,0.0007855,0.0007855
67,121.433,0.63342,0.37396,0.85486,0.98902,0.99527,0.99468,0.79465,0.63672,0.34509,0.81111,0.0007822,0.0007822,0.0007822
68,123.331,0.61975,0.36619,0.85479,0.99001,0.99454,0.99421,0.7963,0.63056,0.35039,0.79504,0.0007789,0.0007789,0.0007789
69,125.249,0.62716,0.37014,0.85427,0.98635,0.99485,0.99423,0.79918,0.61046,0.33782,0.79847,0.0007756,0.0007756,0.0007756
70,127.186,0.61396,0.36179,0.8495,0.99065,0.99667,0.99475,0.79683,0.61952,0.33847,0.7975,0.0007723,0.0007723,0.0007723
71,129.088,0.60005,0.35335,0.84737,0.98896,0.99583,0.99413,0.80351,0.61095,0.32863,0.79696,0.000769,0.000769,0.000769
72,131.014,0.60977,0.3533,0.85016,0.99168,0.99538,0.99435,0.80051,0.61581,0.32964,0.79257,0.0007657,0.0007657,0.0007657
73,132.951,0.60573,0.3543,0.85132,0.99023,0.9957,0.99412,0.80668,0.60806,0.32174,0.79579,0.0007624,0.0007624,0.0007624
74,134.892,0.61254,0.36102,0.84566,0.99153,0.99526,0.99476,0.80444,0.62062,0.33742,0.80063,0.0007591,0.0007591,0.0007591
75,136.781,0.61772,0.35762,0.84917,0.99053,0.99546,0.9942,0.8022,0.61096,0.32794,0.80317,0.0007558,0.0007558,0.0007558
76,138.718,0.60956,0.35403,0.84434,0.99092,0.9942,0.99422,0.8026,0.61324,0.32661,0.805,0.0007525,0.0007525,0.0007525
77,140.589,0.61763,0.35538,0.85994,0.99072,0.99542,0.99425,0.80103,0.61587,0.32679,0.80396,0.0007492,0.0007492,0.0007492
78,142.332,0.59695,0.34693,0.84981,0.99128,0.99401,0.99383,0.80816,0.60336,0.32188,0.79597,0.0007459,0.0007459,0.0007459
79,144.11,0.6056,0.34902,0.85394,0.99147,0.995,0.99421,0.79845,0.61412,0.33127,0.79358,0.0007426,0.0007426,0.0007426
80,145.879,0.61015,0.35029,0.84824,0.98981,0.99625,0.99441,0.80248,0.61553,0.32166,0.8,0.0007393,0.0007393,0.0007393
81,147.626,0.61294,0.34814,0.84948,0.98998,0.99348,0.99385,0.80528,0.60026,0.31582,0.80514,0.000736,0.000736,0.000736
82,149.391,0.59653,0.3466,0.84806,0.98972,0.99583,0.9943,0.80902,0.60561,0.32483,0.80399,0.0007327,0.0007327,0.0007327
83,151.179,0.60066,0.34872,0.84884,0.99125,0.99584,0.9944,0.81103,0.59442,0.32912,0.80483,0.0007294,0.0007294,0.0007294
84,152.938,0.60573,0.34428,0.85404,0.99067,0.99679,0.9943,0.80924,0.59119,0.32433,0.80603,0.0007261,0.0007261,0.0007261
85,154.708,0.60108,0.34505,0.84723,0.98877,0.99583,0.9942,0.80542,0.61732,0.32709,0.80627,0.0007228,0.0007228,0.0007228
86,156.447,0.6157,0.34801,0.84783,0.99103,0.98649,0.99416,0.8055,0.61389,0.329,0.7984,0.0007195,0.0007195,0.0007195
87,158.21,0.59925,0.34426,0.84367,0.98614,0.9934,0.99434,0.79993,0.62849,0.33725,0.79988,0.0007162,0.0007162,0.0007162
